account_id,in_degree,out_degree,avg_neighbor_degree,pagerank,clustering,is_fraud
U128,44,51,102.255,0.000918286,0.0973002,0
U28,45,40,101.95,0.000917382,0.0984177,0
U707,50,50,100.62,0.000999576,0.0964591,0
U596,52,48,102.917,0.000988747,0.0956327,0
U594,45,54,102.222,0.00090073,0.0976893,0
U630,50,50,100.9,0.00100001,0.0945129,0
U907,50,51,101.98,0.00100898,0.0947368,0
U812,55,51,100.824,0.00109552,0.0955644,0
U90,48,57,100.825,0.000974855,0.0959394,0
U141,50,59,101.881,0.000984909,0.102689,0
U578,43,49,99.6531,0.000892866,0.0926966,0
U574,53,52,102.654,0.00103319,0.099604,0
U652,54,50,102.76,0.0010541,0.0914948,0
U294,58,53,101.585,0.00115084,0.0970685,0
U452,51,40,100.275,0.00100446,0.0893557,0
U826,57,54,100.074,0.00113537,0.096054,0
U130,41,52,99.7115,0.000854467,0.0940439,0
U95,40,51,99.9608,0.00083267,0.0937181,0
U568,63,58,103,0.00122148,0.0946027,0
U283,46,57,100.895,0.000911356,0.0952381,0
U335,42,44,100.045,0.000890166,0.0845938,0
U888,55,60,101.833,0.0010669,0.104043,0
U638,41,45,100.022,0.000831513,0.0949512,0
U550,63,50,101.66,0.00126404,0.0917272,0
U348,52,54,101.981,0.00110031,0.095729,0
U773,52,36,100.306,0.00101203,0.097533,0
U252,49,55,102.582,0.000969596,0.0963602,0
U860,52,57,99.7018,0.00108517,0.0923282,0
U872,50,67,100.254,0.00104077,0.0917272,0
U203,46,45,101.156,0.000929695,0.0972671,0
U385,48,48,101.104,0.000966191,0.0970079,0
U710,49,45,102.889,0.00101482,0.100624,0
U31,45,55,101.073,0.00092729,0.0893471,0
U180,46,53,100.679,0.000916255,0.091886,0
U249,40,52,101.25,0.000840806,0.0963795,0
U64,54,38,101.263,0.0010677,0.102123,0
U415,50,50,102.16,0.00100595,0.0976893,0
U243,38,51,103.059,0.000820869,0.10432,0
U212,60,38,98.0526,0.00117333,0.0897616,0
U402,58,45,101.533,0.00116004,0.0938596,0
U376,48,39,101.897,0.000977868,0.0852153,0
U762,51,45,101.644,0.00103413,0.0942288,0
U293,59,37,105.541,0.00115836,0.0965122,0
U44,50,55,100.127,0.000988946,0.0955154,0
U507,65,44,102.295,0.00122715,0.0908911,0
U946,51,61,102.23,0.000994136,0.0994505,0
U100,52,50,100.36,0.0010374,0.0906796,0
U569,38,41,100.341,0.000788084,0.0892441,0
U855,57,38,96.7105,0.00105844,0.0934066,0
U905,56,39,101.564,0.0010886,0.102622,0
U931,41,55,102.673,0.000865152,0.0998567,0
U830,44,60,102.217,0.000897088,0.0927089,0
U158,48,51,101.843,0.000982652,0.10073,0
U278,54,50,103.16,0.00108665,0.0967677,0
U256,55,46,101.043,0.00105241,0.0935016,0
U220,43,63,101.175,0.000871901,0.100086,0
U572,50,56,99.6429,0.000983467,0.0880808,0
U688,53,50,100.28,0.00102404,0.0853303,0
U674,57,59,101.051,0.00112392,0.0905755,0
U374,60,46,102.391,0.00113835,0.0955154,1
U816,39,47,101.936,0.00081354,0.097479,0
U712,56,51,99.2745,0.00111344,0.0935354,0
U304,50,36,103.917,0.00101379,0.10786,0
U473,47,55,102.109,0.000967853,0.100301,0
U623,57,50,100.98,0.00112696,0.0940722,0
U219,46,51,99.7647,0.000938329,0.0901373,0
U23,38,44,103.432,0.000810972,0.100702,0
U690,60,47,102.128,0.00121157,0.0918812,0
U793,41,52,101.904,0.000866219,0.088558,0
U996,47,41,101.049,0.000914109,0.10241,0
U108,52,58,100.741,0.00102285,0.0977538,0
U633,39,47,101.149,0.000809185,0.0893329,0
U891,53,50,99.34,0.00106909,0.0961498,0
U852,49,65,102.185,0.000988232,0.0992185,0
U530,66,48,102.292,0.00127708,0.0998615,0
U80,56,50,102.4,0.00113324,0.0972995,0
U742,50,48,102.625,0.000986613,0.0928004,0
U182,51,57,101.035,0.000989113,0.0980198,0
U71,58,51,99.8824,0.00115245,0.100514,0
U593,51,41,103.537,0.00104983,0.0953808,0
U289,64,48,100.979,0.00120468,0.0912848,0
U238,42,52,99.9038,0.000860352,0.0921859,0
U911,46,59,100.831,0.000909847,0.0947389,0
U241,44,50,100.38,0.000916687,0.0952381,0
U959,49,35,103.629,0.000962491,0.105691,0
U233,37,52,101.038,0.000793332,0.0958725,0
U194,47,46,101.326,0.000938342,0.0953501,0
U192,49,42,100.19,0.000943777,0.09658,0
U134,51,51,98.5882,0.000999696,0.0962199,0
U966,29,49,100.898,0.000641152,0.0854054,0
U673,43,37,102.351,0.000859381,0.0919081,0
U67,42,50,98.9,0.000866438,0.0909091,0
U754,54,58,101.534,0.00106296,0.0991914,0
U53,65,51,99.0784,0.00127791,0.0908945,0
U694,44,58,101.276,0.000896295,0.100198,0
U359,45,40,99.925,0.000942821,0.0958861,0
U795,51,40,96.2,0.00106399,0.0982216,0
U125,52,43,103.791,0.00110232,0.094382,0
U161,45,46,100.413,0.000901699,0.0919305,0
U884,49,51,101.078,0.000975717,0.0951848,0
U869,62,53,99.5283,0.00120288,0.0922465,0
U422,46,61,102.344,0.00095087,0.0951272,0
U326,63,55,100.309,0.00125358,0.102107,0
U598,48,46,101.196,0.00095655,0.0956054,0
U431,55,50,101.94,0.001055,0.10101,0
U454,54,58,100.259,0.00106313,0.0986501,0
U774,56,55,100.4,0.00109654,0.100757,0
U531,49,56,100.643,0.000958572,0.0938596,0
U815,49,52,102.577,0.00101318,0.0913108,0
U120,45,49,101.878,0.00092664,0.0981021,0
U355,40,51,100.686,0.000799418,0.0974399,0
U882,52,44,102.545,0.00102413,0.098878,0
U532,54,47,100.043,0.00106498,0.0954015,0
U486,42,57,101.544,0.000866072,0.0958567,0
U725,51,44,100.75,0.00100279,0.099791,0
U103,50,60,103.85,0.0010085,0.105489,0
U560,57,51,101.529,0.00111456,0.0982296,1
U898,43,48,105.521,0.000943937,0.100611,0
U755,40,55,100.036,0.000811933,0.0909091,0
U423,44,64,100.938,0.00086795,0.0898058,0
U749,34,42,102.571,0.000732545,0.0958529,0
U967,58,46,98.5217,0.00110659,0.0961616,0
U914,40,47,102.149,0.000824955,0.101681,0
U157,55,45,99.4222,0.00108724,0.0979181,0
U955,46,82,101.524,0.000899002,0.0974123,0
U315,37,48,100.438,0.000742973,0.0897877,0
U295,56,38,101.263,0.00104409,0.101124,0
U845,53,47,101.213,0.00106528,0.0981529,0
U76,53,56,98.3571,0.0010767,0.0883122,0
U634,53,49,102.918,0.00101733,0.095614,0
U27,51,55,100.091,0.0010248,0.0891089,0
U832,59,49,102.531,0.00112909,0.0982296,0
U581,51,45,100.067,0.00100033,0.0920991,0
U834,42,47,100.277,0.000866209,0.0959636,0
U398,49,51,102.333,0.000985169,0.0953947,0
U189,53,48,101.75,0.00102568,0.0899108,0
U411,50,52,100.423,0.000989102,0.0992268,0
U521,54,46,100.087,0.00107803,0.0934211,0
U929,55,41,103.024,0.00109377,0.0946317,0
U835,68,53,100.868,0.00136248,0.0979772,0
U122,48,40,103.1,0.000971689,0.0917958,0
U223,58,55,102.018,0.00114574,0.097035,1
U491,50,52,99.0385,0.0010259,0.0974244,0
U559,50,45,101.289,0.00101775,0.0993789,0
U684,58,41,102.39,0.00117213,0.100096,0
U21,48,42,99.5476,0.000931105,0.0918768,0
U974,44,59,101.831,0.00090484,0.0902907,0
U919,49,36,102.472,0.000963723,0.0941358,0
U461,55,54,101.037,0.0010871,0.0982929,0
U648,38,54,100.278,0.000825177,0.101051,0
U144,41,57,100.93,0.000863434,0.101232,0
U918,53,47,100.064,0.00105561,0.0914955,0
U805,37,57,99.5263,0.000787353,0.0856844,0
U137,44,53,101.66,0.000879304,0.0951848,0
U705,46,42,100.048,0.000966843,0.0993677,0
U309,60,55,99.3455,0.00117541,0.0927657,0
U988,52,59,100.78,0.00103895,0.0927526,0
U62,53,46,100.457,0.00105569,0.088488,0
U196,51,53,100.623,0.00101985,0.0915275,0
U89,60,57,101.491,0.00119794,0.0977887,0
U142,48,57,100.719,0.000982326,0.100594,0
U667,46,46,100.13,0.000961443,0.0965271,0
U343,55,53,101.698,0.00107933,0.0916729,0
U79,46,53,101.774,0.000911332,0.0951754,0
U466,41,45,99.1333,0.000858327,0.0867284,0
U432,52,60,100.05,0.00101781,0.0917571,0
U625,52,52,102.654,0.00103123,0.0996564,0
U857,35,43,101.535,0.000729859,0.0966309,0
U455,53,52,103.346,0.00107187,0.100147,0
U481,47,66,99.4545,0.000916572,0.0968083,0
U480,52,52,100.692,0.00103412,0.09089,0
U619,55,50,101.74,0.00110376,0.0933828,0
U923,56,39,99.8205,0.00105549,0.0984127,0
U331,53,36,103.361,0.00106111,0.0918768,0
U883,44,42,100.714,0.000914578,0.103086,0
U672,54,49,99.2245,0.00104694,0.0970934,0
U818,38,47,101.957,0.00080635,0.099618,0
U615,50,66,102.121,0.00104611,0.0979149,0
U488,42,49,101.776,0.000852294,0.100624,0
U801,60,46,100.696,0.00120544,0.0900438,1
U198,64,40,102.2,0.00125433,0.0912871,0
U720,47,61,100.049,0.000970387,0.0933333,0
U621,54,48,101.875,0.00108167,0.0912281,0
U819,48,65,101.477,0.000968879,0.101418,0
U476,62,45,102.467,0.00119547,0.0968317,0
U276,59,52,101.25,0.00112979,0.0908425,0
U748,55,43,103.047,0.00107032,0.0993895,0
U275,53,55,100.836,0.00103384,0.103636,1
U68,53,59,101.644,0.00107916,0.0972147,0
U545,55,44,100.386,0.00106639,0.0993895,0
U285,45,50,100.06,0.000935006,0.0923845,0
U657,58,58,100.672,0.00112079,0.0923833,0
U327,49,51,101.039,0.00100085,0.0936455,0
U991,68,39,102.974,0.00131049,0.0953535,0
U584,48,56,99.6429,0.000941071,0.0909091,0
U487,51,43,103.907,0.000993563,0.10362,0
U291,54,58,102.069,0.0010369,0.0920734,0
U908,58,58,100.638,0.00113093,0.0913771,0
U848,51,45,98.4222,0.000993582,0.0977066,0
U796,58,42,101.048,0.00113158,0.0962719,0
U485,42,46,102.087,0.000868685,0.0985994,0
U11,53,46,102.652,0.00104305,0.099813,0
U418,42,59,102.915,0.000851172,0.0956327,0
U873,46,49,99.9796,0.000913969,0.0972318,0
U721,48,64,100.797,0.000980602,0.0879121,0
U716,59,49,100.367,0.00112664,0.0956436,0
U126,43,58,101.31,0.000885826,0.099802,0
U41,53,45,101.822,0.00107883,0.101096,0
U390,37,60,103,0.000799669,0.0956305,0
U714,64,52,103.038,0.00121281,0.100584,0
U943,59,39,100.256,0.00110901,0.0934066,0
U900,63,55,98.6364,0.00126073,0.0887797,0
U704,46,47,100.957,0.000918334,0.0935287,0
U936,47,43,98.3256,0.000951381,0.0955182,0
U753,34,47,100.511,0.00073224,0.0984279,0
U659,43,48,100.354,0.000844099,0.0919289,0
U760,47,49,98.2653,0.000923456,0.0900621,0
U98,57,34,102,0.00107902,0.0949512,0
U209,48,49,101.204,0.000947743,0.0928839,0
