sender,receiver,amount,timestamp,type,is_fraud
U128,U28,2770.33,2025-10-21 12:20:59,cash_in,0
U707,U596,8840.34,2025-10-24 03:40:21,transfer,0
U594,U630,1416.26,2025-10-06 06:13:40,payment,0
U907,U812,8677.31,2025-10-17 22:37:28,cash_in,0
U90,U141,5285.63,2025-10-10 15:38:13,payment,0
U578,U574,4083.59,2025-10-14 06:20:37,transfer,0
U652,U294,1001.66,2025-10-20 07:36:22,transfer,0
U452,U826,13869.84,2025-10-03 22:18:51,transfer,0
U130,U95,2007.47,2025-10-22 14:43:17,transfer,0
U568,U596,10797.32,2025-10-24 04:07:34,cash_in,0
U283,U335,464.92,2025-10-06 06:36:26,cash_in,0
U888,U638,17114.31,2025-10-26 22:06:36,payment,0
U550,U348,7135.7,2025-10-21 16:54:14,cash_in,0
U773,U252,13606.82,2025-10-18 11:41:39,transfer,0
U888,U860,11078.61,2025-10-22 18:18:02,payment,0
U872,U203,15081.48,2025-10-29 10:08:45,cash_in,0
U385,U710,8002.57,2025-10-24 18:20:53,payment,0
U31,U180,2695.39,2025-10-29 17:44:42,transfer,0
U249,U826,18957.38,2025-10-20 08:46:46,transfer,0
U64,U415,18600.45,2025-10-16 04:24:27,cash_in,0
U243,U212,10263.92,2025-10-15 04:52:43,cash_in,0
U402,U376,5213.94,2025-10-20 04:54:26,cash_in,0
U762,U293,8865.7,2025-10-06 08:59:09,transfer,0
U44,U507,12582.59,2025-10-16 00:33:45,payment,0
U946,U100,12978.93,2025-10-04 11:51:42,transfer,0
U569,U855,10030.11,2025-10-18 05:13:39,payment,0
U860,U905,8397.27,2025-10-16 08:26:32,cash_in,0
U931,U830,11437.42,2025-10-10 03:18:53,cash_in,0
U158,U278,2707.88,2025-10-01 11:54:02,transfer,0
U256,U220,19681.9,2025-10-22 00:09:25,payment,0
U572,U688,19867.59,2025-10-07 09:45:44,transfer,0
U674,U374,12992.03,2025-10-05 00:31:56,payment,0
U816,U712,586.48,2025-10-14 03:13:51,payment,0
U710,U304,18595.63,2025-10-08 15:20:04,transfer,0
U710,U473,5511.89,2025-10-10 06:00:58,transfer,0
U623,U219,19437.63,2025-10-15 04:53:21,payment,0
U712,U23,6020.54,2025-10-25 12:52:27,cash_in,0
U690,U793,13209.35,2025-10-11 15:34:00,transfer,0
U996,U108,18355.18,2025-10-19 13:34:51,payment,0
U633,U891,16957.87,2025-10-24 09:04:43,cash_in,0
U852,U530,2316.14,2025-10-26 17:59:29,payment,0
U80,U742,13362.57,2025-10-08 00:29:28,cash_in,0
U182,U71,14385.17,2025-10-11 15:35:09,payment,0
U593,U294,18661.32,2025-10-18 19:04:52,transfer,0
U289,U238,19211.19,2025-10-03 07:42:31,payment,0
U911,U241,10155.21,2025-10-06 05:19:25,transfer,0
U959,U233,19555.76,2025-10-16 15:58:39,transfer,0
U194,U192,14435.1,2025-10-06 20:49:07,transfer,0
U134,U966,8238.24,2025-10-02 13:09:23,payment,0
U673,U67,15591.84,2025-10-22 22:01:34,payment,0
U754,U53,10446.87,2025-10-12 02:59:52,cash_in,0
U694,U359,6977.75,2025-10-17 14:43:01,transfer,0
U795,U125,3244.88,2025-10-02 22:45:37,transfer,0
U161,U884,1677.54,2025-10-02 01:10:39,payment,0
U869,U108,17004.28,2025-10-27 19:18:00,payment,0
U422,U326,1828.57,2025-10-26 03:53:47,transfer,0
U598,U931,8176.5,2025-10-25 05:58:41,transfer,0
U431,U454,7073.49,2025-10-17 16:49:48,transfer,0
U774,U531,14413.43,2025-10-22 18:02:01,cash_in,0
U815,U120,19714.73,2025-10-22 01:48:03,transfer,0
U355,U882,16949.22,2025-10-11 03:43:04,transfer,0
U532,U593,7148.97,2025-10-22 05:18:47,transfer,0
U486,U725,15656.51,2025-10-06 00:04:45,payment,0
U103,U560,6216.98,2025-10-08 05:28:40,transfer,0
U898,U572,3630.91,2025-10-05 17:42:56,cash_in,0
U755,U423,18530.68,2025-10-17 03:38:58,payment,0
U749,U967,1103.83,2025-10-17 06:27:31,transfer,0
U914,U157,2891.28,2025-10-07 17:49:41,payment,0
U955,U128,10856.8,2025-10-15 07:53:00,cash_in,0
U315,U252,6020.0,2025-10-29 17:11:10,cash_in,0
U295,U815,18624.47,2025-10-07 06:07:53,payment,0
U845,U76,3177.88,2025-10-16 22:57:13,transfer,0
U830,U634,6212.19,2025-10-18 08:55:42,transfer,0
U27,U832,11905.68,2025-10-25 12:26:52,transfer,0
U581,U834,7438.53,2025-10-07 12:48:44,payment,0
U398,U755,8104.08,2025-10-22 12:56:10,payment,0
U125,U189,15712.95,2025-10-19 20:07:08,payment,0
U411,U521,18386.3,2025-10-07 16:13:51,transfer,0
U929,U835,1862.53,2025-10-12 00:56:38,transfer,0
U283,U122,9419.59,2025-10-20 15:42:23,cash_in,0
U223,U491,12594.44,2025-10-23 03:02:40,cash_in,0
U559,U684,9531.83,2025-10-22 22:39:56,transfer,0
U21,U974,1101.19,2025-10-07 19:12:46,cash_in,0
U919,U461,10829.11,2025-10-23 07:57:58,cash_in,0
U648,U411,3103.35,2025-10-27 06:15:58,transfer,0
U144,U918,15732.6,2025-10-11 15:17:19,cash_in,0
U805,U137,4804.48,2025-10-24 12:52:45,transfer,0
U705,U309,11706.84,2025-10-21 14:00:34,transfer,0
U988,U966,18401.58,2025-10-04 20:40:04,transfer,0
U62,U196,12561.25,2025-10-12 06:19:14,cash_in,0
U89,U142,12907.16,2025-10-26 23:33:20,transfer,0
U667,U343,14444.82,2025-10-05 00:18:52,cash_in,0
U79,U203,12408.44,2025-10-24 23:06:20,cash_in,0
U466,U432,967.55,2025-10-12 14:53:47,payment,0
U625,U857,1861.68,2025-10-16 21:23:29,payment,0
U455,U481,13548.1,2025-10-15 23:02:35,cash_in,0
U180,U480,17616.5,2025-10-20 16:26:04,cash_in,0
U619,U923,15318.83,2025-10-07 03:54:17,transfer,0
U331,U883,5853.97,2025-10-04 06:41:37,transfer,0
U672,U818,2056.71,2025-10-10 20:21:26,payment,0
U615,U488,2863.75,2025-10-29 13:23:47,cash_in,0
U801,U198,14499.89,2025-10-01 20:34:57,payment,0
U720,U621,15035.76,2025-10-06 10:35:50,cash_in,0
U819,U476,9765.12,2025-10-03 05:30:59,transfer,0
U276,U748,8341.29,2025-10-05 08:01:36,transfer,0
U507,U275,6464.07,2025-10-14 18:24:35,cash_in,0
U68,U545,6431.76,2025-10-28 13:54:50,payment,0
U285,U657,5897.77,2025-10-06 06:02:04,cash_in,0
U327,U991,15059.31,2025-10-07 21:37:42,transfer,0
U584,U487,19135.26,2025-10-11 18:19:05,payment,0
U291,U908,9503.11,2025-10-29 01:54:15,payment,0
U233,U596,11449.14,2025-10-18 22:43:12,payment,0
U848,U550,876.59,2025-10-05 09:31:19,cash_in,0
U869,U796,3392.74,2025-10-26 17:11:48,transfer,0
U485,U203,8153.15,2025-10-05 11:43:22,transfer,0
U707,U11,8323.59,2025-10-21 01:55:31,cash_in,0
U418,U873,7382.42,2025-10-17 02:08:20,cash_in,0
U593,U343,16818.81,2025-10-02 19:46:41,payment,0
U721,U716,9489.08,2025-10-16 23:44:14,payment,0
U126,U41,2585.03,2025-10-11 00:16:30,payment,0
U390,U714,7513.69,2025-10-16 04:04:27,payment,0
U943,U900,18797.83,2025-10-12 14:43:33,cash_in,0
U704,U936,18487.13,2025-10-12 20:08:56,cash_in,0
U753,U659,7457.33,2025-10-24 22:20:25,transfer,0
U760,U98,13061.64,2025-10-26 16:18:20,transfer,0
U815,U209,7076.91,2025-10-24 23:42:14,cash_in,0
U132,U140,17059.08,2025-10-14 11:44:53,transfer,0
U936,U500,11959.45,2025-10-09 12:14:41,payment,0
U864,U252,12037.18,2025-10-14 23:19:08,payment,0
U199,U757,3503.07,2025-10-29 10:21:42,transfer,0
U751,U99,16993.09,2025-10-11 12:17:52,payment,0
U225,U4,17044.6,2025-10-16 13:43:33,payment,0
U819,U694,18215.62,2025-10-23 12:39:55,transfer,0
U402,U995,8717.9,2025-10-14 20:54:24,cash_in,0
U920,U87,11588.26,2025-10-27 16:27:39,transfer,0
U338,U827,6941.12,2025-10-06 15:42:44,transfer,0
U928,U955,11136.21,2025-10-21 01:06:07,cash_in,0
U221,U850,11426.11,2025-10-18 12:36:13,cash_in,0
U896,U365,19935.27,2025-10-17 18:09:56,transfer,0
U529,U302,14959.79,2025-10-25 05:10:46,cash_in,0
U950,U685,10822.07,2025-10-06 06:42:32,payment,0
U10,U1,10129.58,2025-10-20 18:19:22,payment,0
U853,U447,8081.82,2025-10-09 06:18:37,payment,0
U710,U446,15927.63,2025-10-20 03:53:47,transfer,0
U767,U502,18387.17,2025-10-20 22:00:07,payment,0
U121,U782,12610.66,2025-10-06 07:38:42,payment,0
U450,U835,17574.69,2025-10-21 01:51:50,cash_in,0
U877,U912,2501.73,2025-10-21 09:35:47,cash_in,0
U761,U252,6084.09,2025-10-09 15:26:55,payment,0
U490,U321,215.8,2025-10-23 15:33:07,payment,0
U91,U373,13949.55,2025-10-16 15:31:28,transfer,0
U482,U172,19687.87,2025-10-16 10:27:50,cash_in,0
U322,U345,9618.93,2025-10-14 04:12:51,transfer,0
U358,U107,15602.44,2025-10-22 00:55:22,payment,0
U29,U326,4035.12,2025-10-02 22:24:45,transfer,0
U390,U554,10906.15,2025-10-01 20:53:14,transfer,0
U856,U156,3272.96,2025-10-06 14:40:01,transfer,0
U974,U388,17161.25,2025-10-22 16:00:20,transfer,0
U293,U104,13319.87,2025-10-23 03:40:31,payment,0
U980,U256,651.15,2025-10-25 16:03:12,payment,0
U763,U64,121.19,2025-10-07 15:53:39,transfer,0
U105,U7,2880.49,2025-10-16 14:20:13,cash_in,0
U328,U223,10374.34,2025-10-12 14:22:10,transfer,1
U326,U357,11463.9,2025-10-05 09:46:12,cash_in,0
U333,U379,2221.06,2025-10-09 17:37:33,payment,0
U680,U620,5471.47,2025-10-08 17:50:07,transfer,0
U742,U946,11568.01,2025-10-28 09:59:37,cash_in,0
U200,U909,7632.96,2025-10-02 17:30:27,cash_in,0
U565,U720,6646.99,2025-10-27 15:34:31,transfer,0
U694,U560,3167.93,2025-10-22 10:39:08,cash_in,0
U490,U262,10179.62,2025-10-23 04:23:22,transfer,0
U601,U214,2098.7,2025-10-11 13:30:35,payment,0
U873,U142,13270.47,2025-10-09 06:39:40,cash_in,0
U131,U229,13014.39,2025-10-11 13:23:00,payment,0
U709,U137,16265.66,2025-10-21 13:31:19,cash_in,0
U956,U579,18343.07,2025-10-16 09:54:35,transfer,0
U507,U12,10023.83,2025-10-09 22:24:15,cash_in,0
U961,U683,16436.65,2025-10-03 07:05:39,cash_in,0
U926,U662,9270.7,2025-10-11 19:13:32,cash_in,0
U425,U976,16982.51,2025-10-29 05:30:40,payment,0
U421,U812,9741.22,2025-10-18 20:10:23,cash_in,0
U761,U986,331.91,2025-10-01 18:49:07,transfer,0
U612,U356,4714.06,2025-10-08 22:10:43,payment,0
U491,U324,17966.1,2025-10-01 07:06:50,cash_in,0
U412,U564,11757.6,2025-10-14 22:57:45,cash_in,0
U617,U404,11450.1,2025-10-25 15:32:59,payment,0
U651,U425,13538.69,2025-10-10 04:31:34,transfer,0
U317,U980,3307.29,2025-10-02 22:03:43,cash_in,0
U207,U274,229.99,2025-10-17 10:16:30,payment,0
